slug,archivo,ruta_origen,activo,estrategia,magic,estado,score,r_mult,max_dd_pct,winrate,notas
Pure_Fractal_FVG_Fusion_BTCUSD_v12.0,Pure_Fractal_FVG_Fusion_BTCUSD_v12.0.mq5,Pure_Fractal_FVG_Fusion_BTCUSD_v12.0.mq5,BTCUSD,FVG,12,POR_REVISAR,0,,,,"Pure_Fractal_FVG_Fusion_BTCUSD_v12.0.mq5              |; v12.0 — ADAPTACION COMPLETA PARA BTCUSD M1                      |; Base: v11.0 (auditoria profunda, XAUUSD M15).                   |; ADAPTACION A BTCUSD (estudio de 99.520 velas M1, 04-mar a       |; 13-may-2026, +69 dias, rango 64.895-82.827):                    |; A1) FVG: el gap minimo (InpMinGapATR) ahora se calcula con el   |; ATR del timeframe FVG (no el ATR M1 del grafico). Con el    |; ATR M1 (~66 USD) el umbral anterior era irrisorio           |"
Pure_Fractal_FVG_Fusion_XAUUSD_r30,Pure_Fractal_FVG_Fusion_XAUUSD_r30.mq5,Pure_Fractal_FVG_Fusion_XAUUSD_r30.mq5,XAUUSD,FVG,31,POR_REVISAR,0,,,,"Pure_Fractal_FVG_Fusion_BTCUSD_v12.0.mq5              |; v12.0 — ADAPTACION COMPLETA PARA BTCUSD M1                      |; Base: v11.0 (auditoria profunda, XAUUSD M15).                   |; ADAPTACION A BTCUSD (estudio de 99.520 velas M1, 04-mar a       |; 13-may-2026, +69 dias, rango 64.895-82.827):                    |; A1) FVG: el gap minimo (InpMinGapATR) ahora se calcula con el   |; ATR del timeframe FVG (no el ATR M1 del grafico). Con el    |; ATR M1 (~66 USD) el umbral anterior era irrisorio           |"
Pure_Fractal_FVG_Fusion_v10.11,Pure_Fractal_FVG_Fusion_v10.11.mq5,Pure_Fractal_FVG_Fusion_v10.11.mq5,VARIOS/ND,FVG,,POR_REVISAR,0,,,,"Pure_Fractal_FVG_Fusion_v9.mq5                 |; v10.11 — Parche: se agrega modo de LOTAJE MANUAL.                |; 1. Eliminado el Time-Stop (InpMaxHoldingSeconds): no aportaba,  |; solo forzaba cierres en negativo si la operacion aun no      |; habia llegado a SL/TP.                                       |; 2. Eliminado el circuit breaker de cuenta (InpMaxAccountRiskUSD |; CheckHardRiskLimit) y todo Damage Control (dependia del    |; mismo umbral): tambien forzaba cierres en negativo antes de  |"
Pure_Fractal_FVG_Fusion_v10.12,Pure_Fractal_FVG_Fusion_v10.12.mq5,Pure_Fractal_FVG_Fusion_v10.12.mq5,VARIOS/ND,FVG,,POR_REVISAR,0,,,,"Pure_Fractal_FVG_Fusion_v9.mq5                 |; v10.12 — Auditoria de microestructura para cuentas Cent/Micro   |; en activos volatiles (XAUUSD, BTCUSD). Historial resumido:      |; v10.10: se elimino el Time-Stop fijo y el circuit breaker de  |; cuenta porque forzaban cierres en negativo antes de SL/TP.  |; v10.11: se agrego InpLotMode (lote fijo manual vs riesgo USD).|; v10.12 (esta version) corrige 4 vectores de falla especificos   |; de microestructura retail:                                      |"
Pure_Fractal_FVG_Fusion_v11.0,Pure_Fractal_FVG_Fusion_v11.0.mq5,Pure_Fractal_FVG_Fusion_v11.0.mq5,VARIOS/ND,FVG,104,POR_REVISAR,0,,,,"Pure_Fractal_FVG_Fusion_v11.0.mq5             |; v11.0 — Paquete de mejoras derivado de la auditoria profunda   |; de v10.12 (M15 XAUUSD, cuentas Cent/Standard/Micro).           |; CAMBIOS vs v10.12:                                              |; 1) DETECCION AUTOMATICA DE TIPO DE CUENTA (Cent/Standard/       |; Micro): InpAccountType=AUTO detecta por moneda (USC/EUC...)  |; y por relacion contrato/tick-value. Todos los inputs en USD  |; (riesgo por trade, limite diario) se escalan internamente a  |"
Pure_Fractal_MultiTimeframe_XAUUSD_r31,Pure_Fractal_MultiTimeframe_XAUUSD_r31.mq5,Pure_Fractal_MultiTimeframe_XAUUSD_r31.mq5,XAUUSD,MultiTimeframe,910001,POR_REVISAR,0,,,,"Pure_Fractal_MultiTimeframe_XAUUSD_r31.mq5                       |; EA MULTIHORARIO: cada franja horaria usa su estrategia validada   |; Validacion walk-forward 3 periodos (2024H2-2026A): 25 configs     |; XAU: 00-02 MOMEMA3.0 | 02-04 MOMEMA2.0 | 04-06 BREAK48+MOMEMA3.0 |; 06-08 BREAK483.0 | 10-12 RETEST483.0 | 14-16 EMACROSS2.0    |; 16-18 RETEST482.0 | 22-24 BREAK483.0  (riesgo 20 USD)       |; BTC: 04-06 VWAP2.5 | 16-18 RETEST482.0 | 18-20 VWAP2.0 |         |; 20-22 RETEST482.5  (riesgo 300 USD, via .set BTC)           |"
Pure_Fractal_MultiTimeframe_XAUUSD_r31_BTC,Pure_Fractal_MultiTimeframe_XAUUSD_r31_BTC.mq5,Pure_Fractal_MultiTimeframe_XAUUSD_r31_BTC.mq5,BTCUSD,MultiTimeframe,910101,POR_REVISAR,0,,,,"Pure_Fractal_MultiTimeframe_XAUUSD_r31.mq5                       |; EA MULTIHORARIO: cada franja horaria usa su estrategia validada   |; Validacion walk-forward 3 periodos (2024H2-2026A): 25 configs     |; XAU: 00-02 MOMEMA3.0 | 02-04 MOMEMA2.0 | 04-06 BREAK48+MOMEMA3.0 |; 06-08 BREAK483.0 | 10-12 RETEST483.0 | 14-16 EMACROSS2.0    |; 16-18 RETEST482.0 | 22-24 BREAK483.0  (riesgo 20 USD)       |; BTC: 04-06 VWAP2.5 | 16-18 RETEST482.0 | 18-20 VWAP2.0 |         |; 20-22 RETEST482.5  (riesgo 300 USD, via .set BTC)           |"
Pure_Fractal_MultiTimeframe_XAUUSD_r31_BTC_2,Pure_Fractal_MultiTimeframe_XAUUSD_r31_BTC_2.mq5,Pure_Fractal_MultiTimeframe_XAUUSD_r31_BTC_2.mq5,BTCUSD,MultiTimeframe,910201,POR_REVISAR,0,,,,"Pure_Fractal_MultiTimeframe_XAUUSD_r31.mq5                       |; EA MULTIHORARIO: cada franja horaria usa su estrategia validada   |; Validacion walk-forward 3 periodos (2024H2-2026A): 25 configs     |; XAU: 00-02 MOMEMA3.0 | 02-04 MOMEMA2.0 | 04-06 BREAK48+MOMEMA3.0 |; 06-08 BREAK483.0 | 10-12 RETEST483.0 | 14-16 EMACROSS2.0    |; 16-18 RETEST482.0 | 22-24 BREAK483.0  (riesgo 20 USD)       |; BTC: 16-18 RETEST482.0 + 18-20 VWAP2.0 (solo slots validados)  |; riesgo 300 USD, TTL 24 velas (fiel al sim)                 |"
Pure_Fractal_MultiTimeframe_XAUUSD_r32_BTC,Pure_Fractal_MultiTimeframe_XAUUSD_r32_BTC.mq5,Pure_Fractal_MultiTimeframe_XAUUSD_r32_BTC.mq5,BTCUSD,MultiTimeframe,914001,POR_REVISAR,0,,,,"Pure_Fractal_MultiTimeframe_XAUUSD_r32_BTC.mq5                   |; EA MULTIHORARIO: cada franja horaria usa su estrategia validada   |; Validacion walk-forward 3 periodos (2024H2-2026A): 25 configs     |; XAU: 00-02 MOMEMA3.0 | 02-04 MOMEMA2.0 | 04-06 BREAK48+MOMEMA3.0 |; 06-08 BREAK483.0 | 10-12 RETEST483.0 | 14-16 EMACROSS2.0    |; 16-18 RETEST482.0 | 22-24 BREAK483.0  (riesgo 20 USD)       |; BTC: 16-18 RETEST482.0 + 18-20 VWAP2.0 (solo slots validados)  |; riesgo 300 USD, TTL 24 velas (fiel al sim)                 |"
Pure_Fractal_MultiTimeframe_XAUUSD_r32_XAU,Pure_Fractal_MultiTimeframe_XAUUSD_r32_XAU.mq5,Pure_Fractal_MultiTimeframe_XAUUSD_r32_XAU.mq5,XAUUSD,MultiTimeframe,915001,POR_REVISAR,0,,,,"Pure_Fractal_MultiTimeframe_XAUUSD_r32_XAU.mq5                   |; EA MULTIHORARIO: cada franja horaria usa su estrategia validada   |; Validacion walk-forward 3 periodos (2024H2-2026A): 25 configs     |; XAU: 00-02 MOMEMA3.0 | 02-04 MOMEMA2.0 | 04-06 BREAK48+MOMEMA3.0 |; 06-08 BREAK483.0 | 10-12 RETEST483.0 | 14-16 EMACROSS2.0    |; 16-18 RETEST482.0 | 22-24 BREAK483.0  (riesgo 20 USD)       |; BTC: 16-18 RETEST482.0 + 18-20 VWAP2.0 (solo slots validados)  |; riesgo 300 USD, TTL 24 velas (fiel al sim)                 |"
